Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Pivotable date
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2012-04,229,monthly,275453,01/04/2012
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-05,105,monthly,213290,01/05/2012
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2012-05,332,monthly,273785,01/05/2012
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-06,112,monthly,212423,01/06/2012
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2012-06,371,monthly,282399,01/06/2012
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-07,131,monthly,216463,01/07/2012
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2012-07,388,monthly,283469,01/07/2012
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-08,103,monthly,214977,01/08/2012
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2012-08,330,monthly,290365,01/08/2012
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-09,156,monthly,214194,01/09/2012
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2012-09,316,monthly,289175,01/09/2012
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-10,178,monthly,211658,01/10/2012
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2012-10,302,monthly,294067,01/10/2012
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-11,152,monthly,211473,01/11/2012
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2012-11,296,monthly,293979,01/11/2012
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2012-12,170,monthly,214504,01/12/2012
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2012-12,223,monthly,295734,01/12/2012
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-01,136,monthly,216276,01/01/2013
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2013-01,305,monthly,293975,01/01/2013
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-02,192,monthly,217656,01/02/2013
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2013-02,253,monthly,294610,01/02/2013
